roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-2.36,-8.04,-5.81,0,0,0,0,0,0,1
-2.14,-8.15,-5.19,0,0,0,0,0,0,1
-2.07,-8.18,-5.5,0,0,0,0,0,0,1
-2.13,-8.1,-5.84,0,0,0,0,0,0,1
-2.26,-7.95,-4.8,0,0,0,0,0,0,1
-2.22,-7.87,-4.88,0,0,0,0,0,0,1
-2.27,-7.88,-5.1,0,0,0,0,0,0,1
-2.03,-7.93,-4.6,0,0,0,0,0,0,1
-1.74,-7.9,-3.92,0,0,0,0,0,0,1
-1.62,-7.8,-4.46,0,0,0,0,0,0,1
-1.77,-7.77,-4.95,0,0,0,0,0,0,1
-1.94,-7.83,-5.07,0,0,0,0,0,0,1
-2.05,-7.85,-5.8,0,0,0,0,0,0,1
-2.21,-7.91,-5.25,0,0,0,0,0,0,1
-2.36,-7.89,-4.95,0,0,0,0,0,0,1
-2.61,-7.77,-5.14,0,0,0,0,0,0,1
-2.47,-7.52,-5.93,0,0,0,0,0,0,1
-2.36,-7.36,-4.0,0,0,0,0,0,0,1
-2.06,-7.51,-4.21,0,0,0,0,0,0,1
-2.44,-7.99,-5.08,0,0,0,0,0,0,1
-2.62,-8.16,-3.63,0,0,0,0,0,0,1
-2.88,-8.0,-5.08,0,0,0,0,0,0,1
-2.49,-7.55,-6.85,0,0,0,0,0,0,1
-2.33,-6.6,-6.44,0,0,0,0,0,0,1
-2.22,-5.49,-4.9,0,0,0,0,0,0,1
-2.39,-4.85,-4.61,0,0,0,0,0,0,1
-2.38,-4.72,-5.75,0,0,0,0,0,0,1
-2.44,-4.49,-5.89,0,0,0,0,0,0,1
-2.41,-4.05,-5.08,0,0,0,0,0,0,1
-2.49,-3.73,-5.14,0,0,0,0,0,0,1
-2.56,-3.17,-5.27,0,0,1,0,0,0,0
-2.48,-2.62,-4.39,0,0,1,0,0,0,0
-2.79,-2.2,-4.69,0,0,1,0,0,0,0
-2.55,-2.08,-4.42,0,0,1,0,0,0,0
-2.23,-2.31,-4.5,0,0,1,0,0,0,0
-2.24,-2.56,-4.66,0,0,1,0,0,0,0
-2.57,-2.61,-4.51,0,0,1,0,0,0,0
-2.58,-2.55,-4.99,0,0,1,0,0,0,0
-2.4,-2.78,-5.32,0,0,1,0,0,0,0
-2.37,-2.94,-4.12,0,0,1,0,0,0,0
-2.22,-2.99,-4.23,0,0,1,0,0,0,0
-2.21,-3.02,-3.69,0,0,1,0,0,0,0
-2.24,-3.06,-3.66,0,0,1,0,0,0,0
-2.38,-3.04,-4.21,0,0,1,0,0,0,0
-2.55,-3.05,-4.94,0,0,1,0,0,0,0
-2.52,-2.98,-4.18,0,0,1,0,0,0,0
-2.7,-2.77,-3.63,0,0,1,0,0,0,0
-2.69,-2.82,-3.54,0,0,1,0,0,0,0
-2.52,-2.85,-4.67,0,0,1,0,0,0,0
-2.04,-2.99,-4.85,0,0,1,0,0,0,0
-1.61,-3.03,-4.28,0,1,1,0,0,0,0
-2.96,-3.27,-4.51,0,0,1,0,0,0,0
-3.6,-3.3,-5.56,0,0,1,0,0,0,0
-3.7,-3.34,-5.45,0,0,1,0,0,0,0
-3.3,-3.29,-4.48,0,0,1,0,0,0,0
-2.82,-3.27,-3.45,0,0,1,0,0,0,0
-2.78,-3.27,-3.81,0,0,1,0,0,0,0
-2.79,-3.34,-3.89,0,0,1,0,0,0,0
-2.94,-3.28,-5.05,0,0,1,0,0,0,0
-3.15,-3.24,-4.68,0,0,1,0,0,0,0
-3.18,-3.11,-4.14,0,0,1,0,0,0,0
-3.53,-2.89,-3.99,0,0,1,0,0,0,0
-3.26,-3.32,-4.49,0,0,1,0,0,0,0
-3.3,-3.43,-4.79,0,0,1,0,0,0,0
-3.33,-3.46,-4.73,0,0,1,0,0,0,0
-3.44,-3.46,-4.6,0,0,1,0,0,0,0
-3.62,-3.39,-4.85,0,0,1,0,0,0,0
-3.62,-3.27,-4.49,0,0,1,0,0,0,0
-3.57,-3.18,-4.24,0,0,1,0,0,0,0
-3.58,-3.19,-4.3,0,0,1,0,0,0,0
-3.75,-3.24,-4.63,0,0,1,0,0,0,0
-3.82,-3.28,-5.27,0,0,1,0,0,0,0
-3.93,-3.3,-5.11,0,0,1,0,0,0,0
